X,Y,Z
2631045.0,1146795.0,3037.83
2631075.0,1146795.0,3033.51
2631105.0,1146795.0,3027.41
2631135.0,1146795.0,3019.87
2631165.0,1146795.0,3011.47
2631195.0,1146795.0,3007.12
2631225.0,1146795.0,3003.56
2631255.0,1146795.0,2999.34
2631285.0,1146795.0,3006.49
2631315.0,1146795.0,3010.28
2631345.0,1146795.0,3006.89
2631375.0,1146795.0,2992.55
2631405.0,1146795.0,2988.13
2631435.0,1146795.0,2997.76
2631465.0,1146795.0,2994.84
2631495.0,1146795.0,2996.62
2631525.0,1146795.0,3018.1
2631555.0,1146795.0,3036.16
2631585.0,1146795.0,3066.09
2631615.0,1146795.0,3053.98
2631645.0,1146795.0,3045.24
2631675.0,1146795.0,3042.39
2631705.0,1146795.0,3040.27
2631735.0,1146795.0,3038.53
2631765.0,1146795.0,3038.58
2631795.0,1146795.0,3039.11
2631825.0,1146795.0,3039.25
2630775.0,1146765.0,3073.41
2630805.0,1146765.0,3067.75
2630835.0,1146765.0,3061.56
2630865.0,1146765.0,3055.56
2630895.0,1146765.0,3051.09
2630925.0,1146765.0,3047.69
2630955.0,1146765.0,3044.87
2630985.0,1146765.0,3041.87
2631015.0,1146765.0,3039.47
2631045.0,1146765.0,3036.14
2631075.0,1146765.0,3032.18
2631105.0,1146765.0,3026.64
2631135.0,1146765.0,3019.76
2631165.0,1146765.0,3011.28
2631195.0,1146765.0,3005.42
2631225.0,1146765.0,3001.03
2631255.0,1146765.0,2996.3
2631285.0,1146765.0,2989.31
2631315.0,1146765.0,2985.85
2631345.0,1146765.0,2985.47
2631375.0,1146765.0,2978.54
2631405.0,1146765.0,2971.6
2631435.0,1146765.0,2966.35
2631465.0,1146765.0,2964.57
2631495.0,1146765.0,2961.8
2631525.0,1146765.0,2966.13
2631555.0,1146765.0,2973.92
2631585.0,1146765.0,2984.83
2631615.0,1146765.0,3015.36
2631645.0,1146765.0,3033.88
2631675.0,1146765.0,3027.33
2631705.0,1146765.0,3022.8
2631735.0,1146765.0,3018.36
2631765.0,1146765.0,3020.06
2631795.0,1146765.0,3022.86
2631825.0,1146765.0,3025.07
2630715.0,1146735.0,3080.72
2630745.0,1146735.0,3076.51
2630775.0,1146735.0,3071.94
2630805.0,1146735.0,3067.03
2630835.0,1146735.0,3061.11
2630865.0,1146735.0,3055.38
2630895.0,1146735.0,3050.56
2630925.0,1146735.0,3046.42
2630955.0,1146735.0,3043.15
2630985.0,1146735.0,3040.52
2631015.0,1146735.0,3038.01
2631045.0,1146735.0,3034.93
2631075.0,1146735.0,3030.55
2631105.0,1146735.0,3025.47
2631135.0,1146735.0,3019.21
2631165.0,1146735.0,3011.37
2631195.0,1146735.0,3004.1
2631225.0,1146735.0,2998.82
2631255.0,1146735.0,2993.37
2631285.0,1146735.0,2986.87
2631315.0,1146735.0,2978.34
2631345.0,1146735.0,2970.07
2631375.0,1146735.0,2963.69
2631405.0,1146735.0,2960.23
2631435.0,1146735.0,2953.23
2631465.0,1146735.0,2949.52
2631495.0,1146735.0,2945.29
2631525.0,1146735.0,2947.03
2631555.0,1146735.0,2947.47
2631585.0,1146735.0,2945.68
2631615.0,1146735.0,2950.44
2631645.0,1146735.0,2975.6
2631675.0,1146735.0,3010.25
2631705.0,1146735.0,3007.23
2631735.0,1146735.0,2998.45
2631765.0,1146735.0,2999.79
2631795.0,1146735.0,3004.9
2631825.0,1146735.0,3009.89
2631855.0,1146735.0,3013.36
2630685.0,1146705.0,3083.24
2630715.0,1146705.0,3079.48
2630745.0,1146705.0,3075.27
2630775.0,1146705.0,3071.14
2630805.0,1146705.0,3066.41
2630835.0,1146705.0,3061.25
2630865.0,1146705.0,3055.78
2630895.0,1146705.0,3050.43
2630925.0,1146705.0,3045.94
2630955.0,1146705.0,3042.1
2630985.0,1146705.0,3039.32
2631015.0,1146705.0,3036.92
2631045.0,1146705.0,3033.1
2631075.0,1146705.0,3029.23
2631105.0,1146705.0,3024.14
2631135.0,1146705.0,3018.09
