X,Y,Z
2633295.0,1143015.0,1808.72
2633325.0,1143015.0,1806.18
2633355.0,1143015.0,1803.59
2633385.0,1143015.0,1816.86
2633415.0,1143015.0,1831.31
2633445.0,1143015.0,1839.13
2633475.0,1143015.0,1843.67
2633505.0,1143015.0,1843.44
2633535.0,1143015.0,1843.33
2633565.0,1143015.0,1843.64
2633595.0,1143015.0,1844.93
2633625.0,1143015.0,1847.58
2633655.0,1143015.0,1849.75
2633685.0,1143015.0,1851.31
2633715.0,1143015.0,1856.46
2633745.0,1143015.0,1861.43
2633775.0,1143015.0,1864.3
2633805.0,1143015.0,1866.1
2633835.0,1143015.0,1872.48
2633865.0,1143015.0,1877.89
2633895.0,1143015.0,1883.17
2633925.0,1143015.0,1886.94
2633955.0,1143015.0,1890.88
2633985.0,1143015.0,1891.39
2634015.0,1143015.0,1889.19
2634045.0,1143015.0,1883.58
2634075.0,1143015.0,1888.47
2634105.0,1143015.0,1897.06
2634135.0,1143015.0,1901.51
2634165.0,1143015.0,1907.37
2632905.0,1142985.0,1857.74
2632935.0,1142985.0,1840.45
2632965.0,1142985.0,1827.89
2632995.0,1142985.0,1826.81
2633025.0,1142985.0,1822.7
2633055.0,1142985.0,1813.22
2633085.0,1142985.0,1809.35
2633115.0,1142985.0,1805.3
2633145.0,1142985.0,1796.76
2633175.0,1142985.0,1793.28
2633205.0,1142985.0,1809.76
2633235.0,1142985.0,1810.67
2633265.0,1142985.0,1812.84
2633295.0,1142985.0,1814.17
2633325.0,1142985.0,1820.15
2633355.0,1142985.0,1828.08
2633385.0,1142985.0,1830.21
2633415.0,1142985.0,1837.32
2633445.0,1142985.0,1840.22
2633475.0,1142985.0,1844.57
2633505.0,1142985.0,1844.82
2633535.0,1142985.0,1843.43
2633565.0,1142985.0,1843.5
2633595.0,1142985.0,1845.45
2633625.0,1142985.0,1849.3
2633655.0,1142985.0,1848.77
2633685.0,1142985.0,1845.76
2633715.0,1142985.0,1859.25
2633745.0,1142985.0,1866.93
2633775.0,1142985.0,1871.03
2633805.0,1142985.0,1873.64
2633835.0,1142985.0,1879.79
2633865.0,1142985.0,1887.26
2633895.0,1142985.0,1891.92
2633925.0,1142985.0,1896.21
2633955.0,1142985.0,1900.17
2633985.0,1142985.0,1901.35
2634015.0,1142985.0,1898.69
2634045.0,1142985.0,1896.44
2634075.0,1142985.0,1903.39
2634105.0,1142985.0,1913.69
2634135.0,1142985.0,1917.89
2634165.0,1142985.0,1929.4
2632875.0,1142955.0,1843.16
2632905.0,1142955.0,1832.72
2632935.0,1142955.0,1816.68
2632965.0,1142955.0,1813.79
2632995.0,1142955.0,1810.64
2633025.0,1142955.0,1805.0
2633055.0,1142955.0,1805.4
2633085.0,1142955.0,1800.32
2633115.0,1142955.0,1786.04
2633145.0,1142955.0,1799.87
2633175.0,1142955.0,1809.26
2633205.0,1142955.0,1810.41
2633235.0,1142955.0,1811.16
2633265.0,1142955.0,1821.65
2633295.0,1142955.0,1833.79
2633325.0,1142955.0,1838.2
2633355.0,1142955.0,1838.43
2633385.0,1142955.0,1840.99
2633415.0,1142955.0,1837.36
2633445.0,1142955.0,1841.43
2633475.0,1142955.0,1841.51
2633505.0,1142955.0,1841.86
2633535.0,1142955.0,1841.86
2633565.0,1142955.0,1841.69
2633595.0,1142955.0,1844.94
2633625.0,1142955.0,1841.86
2633655.0,1142955.0,1841.86
2633685.0,1142955.0,1847.54
2633715.0,1142955.0,1865.02
2633745.0,1142955.0,1873.74
2633775.0,1142955.0,1879.94
2633805.0,1142955.0,1885.33
2633835.0,1142955.0,1888.42
2633865.0,1142955.0,1896.5
2633895.0,1142955.0,1903.95
2633925.0,1142955.0,1907.02
2633955.0,1142955.0,1910.22
2633985.0,1142955.0,1913.01
2634015.0,1142955.0,1910.49
2634045.0,1142955.0,1908.1
2634075.0,1142955.0,1926.3
2634105.0,1142955.0,1943.93
2634135.0,1142955.0,1945.83
2634165.0,1142955.0,1963.21
2634195.0,1142955.0,1974.76
2632815.0,1142925.0,1842.84
2632845.0,1142925.0,1826.85
2632875.0,1142925.0,1818.43
2632905.0,1142925.0,1809.88
2632935.0,1142925.0,1802.41
2632965.0,1142925.0,1801.34
2632995.0,1142925.0,1799.21
2633025.0,1142925.0,1801.05
2633055.0,1142925.0,1798.7
2633085.0,1142925.0,1782.69
2633115.0,1142925.0,1805.46
2633145.0,1142925.0,1810.04
2633175.0,1142925.0,1813.0
2633205.0,1142925.0,1815.8
2633235.0,1142925.0,1826.23
2633265.0,1142925.0,1835.38
2633295.0,1142925.0,1838.12
2633325.0,1142925.0,1841.62
2633355.0,1142925.0,1843.12
2633385.0,1142925.0,1844.9
2633415.0,1142925.0,1845.1
2633445.0,1142925.0,1844.65
2633475.0,1142925.0,1845.98
2633505.0,1142925.0,1843.32
2633535.0,1142925.0,1841.86
2633565.0,1142925.0,1846.22
2633595.0,1142925.0,1849.49
2633625.0,1142925.0,1850.93
2633655.0,1142925.0,1855.38
2633685.0,1142925.0,1863.01
2633715.0,1142925.0,1870.27
2633745.0,1142925.0,1881.32
2633775.0,1142925.0,1889.85
2633805.0,1142925.0,1897.64
2633835.0,1142925.0,1902.26
